Time(s);Latitude;Longitude;Height(m);Velocity(m/s);Direction(°);Horizontal Accuracy(m);Vertical Accuracy(m)
1.624344755E2;6.029242167E1;2.503783000E1;5.430332733E0;9.053964019E-1;2.870000000E2;1.399999976E0;7.800000191E0
1.634346859E2;6.029242667E1;2.503780333E1;5.530271731E0;9.419416785E-1;2.870000000E2;1.399999976E0;7.900000095E0
1.644371926E2;6.029243167E1;2.503777000E1;5.630196783E0;9.177497029E-1;2.870000000E2;1.500000000E0;7.900000095E0
1.654355385E2;6.029243333E1;2.503776000E1;5.830174125E0;8.420855403E-1;2.870000000E2;1.500000000E0;7.699999809E0
1.664354686E2;6.029243333E1;2.503775167E1;5.930156694E0;8.014224768E-1;2.919400024E2;1.500000000E0;7.800000191E0
1.674359025E2;6.029243667E1;2.503773667E1;6.130121836E0;7.782599926E-1;3.009599915E2;1.500000000E0;7.800000191E0
1.684356238E2;6.029244167E1;2.503772000E1;6.230081750E0;7.659066916E-1;2.870000000E2;1.500000000E0;8.500000000E0
1.694355735E2;6.029244500E1;2.503770000E1;6.430036433E0;7.710539103E-1;2.870000000E2;1.500000000E0;8.000000000E0
1.704335918E2;6.029244667E1;2.503768333E1;6.729999830E0;7.623035908E-1;2.870000000E2;1.500000000E0;7.800000191E0
1.714321662E2;6.029245000E1;2.503766500E1;6.929957999E0;8.014224768E-1;2.870000000E2;1.500000000E0;7.900000095E0
1.724334776E2;6.029245333E1;2.503764500E1;7.329912682E0;7.937016487E-1;2.870000000E2;1.500000000E0;7.599999905E0
1.734381727E2;6.029245667E1;2.503761833E1;7.829853420E0;8.194378018E-1;2.870000000E2;1.500000000E0;7.699999809E0
1.744329262E2;6.029246000E1;2.503760000E1;8.129811589E0;8.328205347E-1;2.870000000E2;1.500000000E0;7.599999905E0
1.754331204E2;6.029246333E1;2.503757167E1;8.329748840E0;9.120877981E-1;2.870000000E2;1.500000000E0;7.599999905E0
1.764337795E2;6.029246667E1;2.503755667E1;8.429713982E0;9.923844337E-1;2.870000000E2;1.500000000E0;7.500000000E0
1.774323776E2;6.029246833E1;2.503753833E1;8.329673892E0;1.027900219E0;2.870000000E2;1.500000000E0;7.500000000E0
1.784348229E2;6.029247167E1;2.503752833E1;8.029649492E0;1.017605782E0;3.078800049E2;1.600000024E0;7.300000191E0
1.794346837E2;6.029247500E1;2.503751000E1;8.429607661E0;1.037165284E0;3.195799866E2;1.600000024E0;7.400000095E0
1.804362641E2;6.029247333E1;2.503748667E1;8.729560595E0;1.062386632E0;2.754899902E2;1.600000024E0;7.599999905E0
1.814387769E2;6.029246833E1;2.503745500E1;9.529499580E0;1.045915604E0;2.643999939E2;1.500000000E0;7.500000000E0
1.824335314E2;6.029246167E1;2.503742167E1;1.032943682E1;1.072681069E0;2.716099854E2;1.500000000E0;6.900000095E0
1.834350295E2;6.029245833E1;2.503738833E1;1.122937058E1;1.038709402E0;2.749599915E2;1.500000000E0;7.000000000E0
1.844339806E2;6.029245500E1;2.503736000E1;1.172931480E1;1.046430230E0;2.953200073E2;1.500000000E0;7.099999905E0
1.854333410E2;6.029245333E1;2.503732333E1;1.222923984E1;1.084004998E0;2.965299988E2;1.500000000E0;7.000000000E0
1.864349552E2;6.029245500E1;2.503729667E1;1.262918232E1;1.079372525E0;2.924700012E2;1.399999976E0;6.800000191E0
1.874334037E2;6.029245667E1;2.503727167E1;1.292912828E1;1.082460880E0;2.797399902E2;1.399999976E0;6.800000191E0
1.884325397E2;6.029245833E1;2.503724667E1;1.322907425E1;1.117461920E0;2.863200073E2;1.299999952E0;6.800000191E0
1.894331914E2;6.029246333E1;2.503722333E1;1.352902022E1;1.121579766E0;2.876199951E2;1.299999952E0;6.800000191E0
1.904336492E2;6.029246833E1;2.503720500E1;1.362897665E1;1.132388830E0;2.986099854E2;1.200000048E0;6.699999809E0
1.914319826E2;6.029247333E1;2.503718500E1;1.372892959E1;1.158125043E0;3.003299866E2;1.200000048E0;6.699999809E0
1.924310108E2;6.029247833E1;2.503716667E1;1.392888601E1;1.144227505E0;2.886000061E2;1.200000048E0;6.599999905E0
1.934353939E2;6.029248333E1;2.503714333E1;1.362883198E1;1.149889469E0;2.929200134E2;1.399999976E0;6.599999905E0
1.944265026E2;6.029248667E1;2.503712500E1;1.332879015E1;1.169963598E0;2.921499939E2;1.399999976E0;6.699999809E0
1.954352662E2;6.029249167E1;2.503710167E1;1.352873612E1;1.210111976E0;2.844800110E2;1.399999976E0;6.500000000E0
1.964314951E2;6.029249667E1;2.503707500E1;1.422867511E1;1.241510034E0;2.807399902E2;1.500000000E0;6.500000000E0
1.974374278E2;6.029250167E1;2.503705333E1;1.512862457E1;1.250260234E0;2.910899963E2;1.500000000E0;6.500000000E0
1.984334216E2;6.029251333E1;2.503703833E1;1.572858100E1;1.218347549E0;2.843399963E2;1.399999976E0;6.599999905E0
1.994398176E2;6.029251667E1;2.503702500E1;1.612854963E1;1.235848069E0;2.918599854E2;1.399999976E0;6.599999905E0
2.004329438E2;6.029252000E1;2.503701167E1;1.632851826E1;1.221435785E0;2.923399963E2;1.399999976E0;6.699999809E0
2.014370468E2;6.029252167E1;2.503699833E1;1.642848862E1;1.183346391E0;2.917000122E2;1.399999976E0;6.699999809E0
2.024323342E2;6.029252667E1;2.503698167E1;1.642844854E1;1.190552473E0;3.009700012E2;1.299999952E0;6.699999809E0
2.034317619E2;6.029253167E1;2.503696333E1;1.642840496E1;1.172537208E0;2.990599976E2;1.299999952E0;6.699999809E0
2.044327247E2;6.029253667E1;2.503694667E1;1.622836488E1;1.135477185E0;2.692500000E2;1.299999952E0;6.699999809E0
2.054319090E2;6.029253833E1;2.503692833E1;1.612832479E1;1.077828288E0;3.057200012E2;1.299999952E0;7.000000000E0
2.064327262E2;6.029254333E1;2.503690833E1;1.562827773E1;1.086578608E0;2.872699890E2;1.299999952E0;7.400000095E0
2.074390616E2;6.029254833E1;2.503687833E1;1.542820975E1;1.187464118E0;2.842300110E2;1.299999952E0;7.500000000E0
2.084321265E2;6.029255333E1;2.503683500E1;1.512811388E1;1.380999684E0;2.843999939E2;1.399999976E0;7.699999809E0
2.094387899E2;6.029256000E1;2.503678667E1;1.472800581E1;1.551372766E0;2.844200134E2;1.399999976E0;7.300000191E0
2.104356988E2;6.029256667E1;2.503673167E1;1.412788380E1;1.714539766E0;2.843599854E2;1.700000048E0;7.699999809E0
2.114332954E2;6.029257167E1;2.503668833E1;1.402778793E1;1.879250884E0;2.843200073E2;1.600000024E0;7.800000191E0
2.124340788E2;6.029258000E1;2.503662833E1;1.412765372E1;2.013078690E0;2.843099976E2;1.700000048E0;7.699999809E0
2.134334752E2;6.029258500E1;2.503658167E1;1.402755087E1;2.196319818E0;2.922600098E2;1.700000048E0;7.400000095E0
2.144367416E2;6.029259667E1;2.503651500E1;1.442739923E1;2.422797441E0;2.913999939E2;1.700000048E0;7.400000095E0
