"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.153552550E0;-1.308030039E-1;1.112717032E0;-2.127459943E-1
1.158344779E0;-2.853679955E-1;1.171815038E0;-8.236499876E-2
1.163136858E0;-4.672560096E-1;1.252686977E0;1.532900035E-1
1.167929086E0;-5.379970074E-1;1.263808012E0;5.384299904E-2
1.172721165E0;-7.741050124E-1;1.430446982E0;4.907320142E-1
1.177513404E0;-9.048529863E-1;1.604210019E0;9.707829952E-1
1.182305483E0;-8.478810191E-1;1.693233013E0;9.603419900E-1
1.187097712E0;-9.180849791E-1;1.843440056E0;9.382820129E-1
1.191889791E0;-1.052266002E0;1.978343964E0;9.213079810E-1
1.196682019E0;-1.116500020E0;2.184206963E0;1.062646031E0
1.201474098E0;-1.189926028E0;2.388962030E0;1.190374017E0
1.206266327E0;-1.266191959E0;2.447323084E0;1.200906038E0
1.211058406E0;-1.347329974E0;2.661326885E0;1.343147993E0
1.215850630E0;-1.333220959E0;2.803661108E0;1.535653949E0
1.220642709E0;-1.387295961E0;2.919893980E0;1.486294031E0
1.225434923E0;-1.516230941E0;3.026959896E0;1.487120032E0
1.230226925E0;-1.454442024E0;3.144471884E0;1.609823942E0
1.235019225E0;-1.398579001E0;3.155255079E0;1.775349021E0
1.239811227E0;-1.277356029E0;3.083220005E0;1.950178981E0
1.244603533E0;-1.071866989E0;3.016951084E0;2.124736071E0
1.249395612E0;-8.560199738E-1;2.822287083E0;2.246364117E0
1.254187841E0;-6.005340219E-1;2.599864960E0;2.456304073E0
1.258979843E0;-3.436770141E-1;2.383044958E0;2.742624998E0
1.263771904E0;-1.286669970E-1;2.193032980E0;2.985717058E0
1.268564135E0;4.692199826E-2;1.945821047E0;3.204790115E0
1.273356199E0;2.262160033E-1;1.662639976E0;3.421483994E0
1.278148428E0;4.068270028E-1;1.410238981E0;3.554481030E0
1.282940507E0;5.725389719E-1;1.214609027E0;3.737953901E0
